Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),DistrictHeating:HVAC [J](Hourly),DistrictCooling:HVAC [J](Hourly) 
 01/03  19:00:00,5015734.547185258,0.0,5015742.073842288,0.0 
 01/03  20:00:00,3003067.334675732,0.0,3003067.3346757318,0.0 
 01/03  21:00:00,3583282.7242917439,0.0,3583282.7242917439,0.0 
 01/03  22:00:00,3690901.8711145038,0.0,3690901.8711145038,0.0 
 01/03  23:00:00,4557739.115958302,0.0,4557739.115958303,0.0 
 01/03  24:00:00,5710541.079278208,0.0,5710541.079278208,0.0 
 01/04  01:00:00,6102499.418849705,0.0,6102499.418849706,0.0 
 01/04  02:00:00,8187282.57910576,0.0,8186947.647584475,0.0 
 01/04  03:00:00,6519042.307994921,0.0,6519040.785457127,0.0 
 01/04  04:00:00,4737408.667098477,0.0,4737408.6670984779,0.0 
 01/04  05:00:00,4807942.54721994,0.0,4807942.54721994,0.0 
 01/04  06:00:00,4797220.362884845,0.0,4797220.362884846,0.0 
 01/04  07:00:00,4250388.343307462,0.0,4250388.343307462,0.0 
 01/04  08:00:00,3794409.0165047228,0.0,3794409.0165047228,0.0 
 01/04  09:00:00,4255000.1853883159,0.0,4255000.1853883159,0.0 
 01/04  10:00:00,4123360.1187971218,0.0,4123360.1187971218,0.0 
 01/04  11:00:00,3710144.4975442907,0.0,3710144.4975442907,0.0 
 01/04  12:00:00,4169346.8464197369,0.0,4169329.696915761,0.0 
 01/04  13:00:00,6381327.182614018,0.0,6381327.182614017,0.0 
 01/04  14:00:00,6408928.900026567,0.0,6408928.900026566,0.0 
 01/04  15:00:00,6123511.749411279,0.0,6123530.667935867,0.0 
 01/04  16:00:00,6110762.315745806,0.0,6110762.315745806,0.0 
 01/04  17:00:00,5863961.336935769,0.0,5863964.876118947,0.0 
 01/04  18:00:00,6066298.053530448,0.0,6066298.053530448,0.0 
 01/04  19:00:00,6609181.706612369,0.0,6609181.706612369,0.0 
 01/04  20:00:00,5727631.183119652,0.0,5727631.183119651,0.0 
 01/04  21:00:00,3461007.817758433,0.0,3461007.8177584328,0.0 
 01/04  22:00:00,3644306.890149844,0.0,3644306.8901498445,0.0 
 01/04  23:00:00,4650182.760141326,0.0,4650182.760141326,0.0 
 01/04  24:00:00,5363532.883109372,0.0,5363532.883109372,0.0 
 01/05  01:00:00,5433795.387666196,0.0,5433795.387666197,0.0 
 01/05  02:00:00,4533785.52251117,0.0,4533785.52251117,0.0 
 01/05  03:00:00,4620282.087058386,0.0,4620282.087058387,0.0 
 01/05  04:00:00,4736894.529047087,0.0,4736894.529047086,0.0 
 01/05  05:00:00,4811024.196103033,0.0,4811024.196103033,0.0 
 01/05  06:00:00,4856165.042913482,0.0,4856165.042913482,0.0 
 01/05  07:00:00,4349735.865905611,0.0,4349735.865905612,0.0 
 01/05  08:00:00,3889915.129057425,0.0,3889915.129057425,0.0 
 01/05  09:00:00,4328473.023869592,0.0,4328473.023869592,0.0 
 01/05  10:00:00,4150066.083732778,0.0,4150066.0837327789,0.0 
 01/05  11:00:00,3632788.4571176075,0.0,3632788.4571176085,0.0 
 01/05  12:00:00,2608684.731213659,0.0,2608695.456024766,0.0 
 01/05  13:00:00,2538959.094575089,0.0,2538959.0945750896,0.0 
 01/05  14:00:00,2676291.8586598669,0.0,2676291.858659867,0.0 
 01/05  15:00:00,2537847.379200766,0.0,2537845.5861695788,0.0 
 01/05  16:00:00,2646417.989369443,0.0,2646417.9893694429,0.0 
 01/05  17:00:00,2363798.1611761406,0.0,2363788.287221495,0.0 
 01/05  18:00:00,2439276.6705147104,0.0,2439276.6705147104,0.0 
 01/05  19:00:00,2849704.473114925,0.0,2849704.473114925,0.0 
 01/05  20:00:00,2829765.81945497,0.0,2829765.81945497,0.0 
 01/05  21:00:00,3562840.245987587,0.0,3562840.2459875869,0.0 
 01/05  22:00:00,3786673.6758027917,0.0,3786673.6758027917,0.0 
 01/05  23:00:00,3953994.7749808949,0.0,3953994.7749808949,0.0 
 01/05  24:00:00,4346189.803723851,0.0,4346189.803723852,0.0 
 01/06  01:00:00,4404696.126039488,0.0,4404696.126039488,0.0 
 01/06  02:00:00,4747199.110234113,0.0,4747199.110234113,0.0 
 01/06  03:00:00,5270342.331278264,0.0,5270342.331278264,0.0 
 01/06  04:00:00,5861370.863384697,0.0,5861370.863384696,0.0 
 01/06  05:00:00,6366171.893657146,0.0,6366171.893657147,0.0 
 01/06  06:00:00,6289978.968678312,0.0,6289978.968678312,0.0 
 01/06  07:00:00,4561779.397192317,0.0,4561779.397192318,0.0 
 01/06  08:00:00,4312382.1341740009,0.0,4312382.134174001,0.0 
